Prénom,Nom,Type,Client CC,Fournisseur CC,Adresse,code postal,Ville,Telephone,Fax,Portable,Lien,Nom entité,pays,email,Actif,Prospect,Transporteur,SIREN,TVA,APE
Frédéric ,AURIOL,person,411,401,11 Le Bouleytreau,33190,CAMIRAN,06 12 34 56 78,,,management,EARL Entre-deux-Terres,fr,frederic.auriol@gmail.com,1,,,,,
Simon,DELEPORTE,person,411,401,12 Le Bouleytreau,33190,CAMIRAN,06 12 34 56 78,,,management,EARL Entre-deux-Terres,fr,frederic.auriol@gmail.com,1,,,,,
Rémi,BEAUJEAN,person,411,401,14 Le Bouleytreau,33190,CAMIRAN,06 12 34 56 78,,,management,EARL Entre-deux-Terres,fr,remi.beaujean@gmail.com,1,,,,,
Aymeric,NICOLAS,person,411,401,14 Le Bouleytreau,33190,CAMIRAN,06 12 34 56 78,,,management,EARL Entre-deux-Terres,fr,aymeric.nicolas@gmail.com,1,,,,,
,AAGestion,legal_entity,,401,"1, Cours du Général de Gaulle",33170,GRADIGNAN,,,,,,fr,,1,,,,,
,AURIOL VINI,legal_entity,,401,11 Le Bouleytreau,33190,CAMIRAN,06 12 34 56 78,,,,Auriol Vini,fr,auriol_vini@gmail.com,1,,,,,
,CREDIT AGRICOLE AQUITAINE,legal_entity,,401,78 Cours du Général Leclerc,33210,LANGON,,,,,Crédit Agricole Agence de Langon,fr,,1,,,,,
,Ets DUCLOS,legal_entity,,401,1 Catoy,33190,MORIZES,,,,,Entreprise DUCLOS,fr,,1,,,,,
,EURALIS,legal_entity,,401,Route de Langon,33540,SAUVETERRE-DE-GUYENNE,,,,,EURALIS Distribution,fr,,1,,,,,
Patrick,JEAN,person,411,,103 rue du Général de Larminat,94370,SUCY-EN-BRIE,,,,,,fr,,1,,,,,
,Caves Yves Legrand,legal_entity,411,,113 bis Avenue de Verdun,92130,ISSY-LES-MOULINEAUX,,,,,Boutique Yves Legrand,fr,,1,,,,,
